Date,Energy,Materials,Financials,Consumer Staples,Consumer Discretionary,Utilities,Telecommunications Services,Information Technology,Industrials,Health Care
1992-01-02,,,,,,,,,,
1992-01-03,,,,,,,,,,
1992-01-06,,,,,,,,,,
1992-01-07,,,,,,,,,,
1992-01-08,,,,,,,,,,
1992-01-09,,,,,,,,,,
1992-01-10,,,,,,,,,,
1992-01-13,,,,,,,,,,
1992-01-14,,,,,,,,,,
1992-01-15,,,,,,,,,,
1992-01-16,,,,,,,,,,
1992-01-17,,,,,,,,,,
1992-01-20,,,,,,,,,,
1992-01-21,0.936985772277023,0.9569526120885795,-1.050274462761122,-3.2515735784076822,,-1.0423869522378226,-0.7481006234719572,0.529870893292936,0.43360124101876335,
1992-01-22,1.1198781193143947,1.0261725317490342,1.158003862287242,-0.9122649997889642,,-0.24198889542627058,0.07075805489593273,1.378835716113127,1.0617751225331986,
1992-01-23,1.0889492027426948,0.6422447287872244,0.2336365890749466,-0.6565831381936451,,-0.510144631423469,0.0020055808775451996,1.0079168031687225,0.35678209172907005,
1992-01-24,1.0487688102672172,0.4424923087436097,-0.8221245668258256,0.0940998233564199,,0.12285144755724431,0.6436741074597356,0.9013980305177729,-0.23027346320835676,
1992-01-27,0.8913612736202955,0.6451671919717231,-1.8670085673987908,0.1462963159010125,,0.27166512369785756,-0.21340729511685014,0.9531636058458627,-0.03643954625584448,
1992-01-28,0.486752416417208,0.8232690700068156,-1.3254082950925528,0.2651326215990762,,0.6095823215155599,-0.6081984501296313,0.48731717938431623,-0.09862414921130219,
1992-01-29,-0.00013466132311835513,-0.2307487465094614,-1.8942556549665563,-1.094050167019054,,0.17220278187107171,-0.8970435591745264,0.26933176405741044,-0.5800226167037605,
1992-01-30,-0.19336494872762552,-0.48066327154420474,-1.1708734918470183,-0.14101408554409717,,0.32197245918378314,-0.04227429938158395,0.39912057999769246,-0.43410559563120854,
1992-01-31,-0.017177886434399502,-1.4430112332711107,-1.3700092026590716,-0.8004656880990815,,0.8222281490202308,-1.231197336638581,-0.5963374711451611,-2.168471887740253,
1992-02-03,-0.9276647576917346,-2.0633534966684612,-1.6322496801577062,-0.02788337362654235,,0.5769297359507648,-2.193382952820222,-0.10894041752043777,-1.7882588400358792,
1992-02-04,-1.36744258128639,-0.7727614062851089,-0.24887865579109375,1.1736433683837273,,0.11777655356410756,-1.4143302650510834,3.1310683027068933,-0.5862382921027736,
1992-02-05,-3.192836193191088,-0.5471646435736288,-0.07600922163625415,1.3087722212351383,,-0.6741348752910346,-1.132072980156584,3.3826900823155945,-0.2699249930555563,
1992-02-06,-2.1626034354498254,-0.0061964454634703715,-0.14563401472952484,1.2569512745377336,,-0.7853805095255108,-1.555863358759645,1.6972769307184532,-0.20163582077144757,
1992-02-07,-0.9768840607142455,-0.7380456311726523,-0.9852475685102323,-0.1774834930470367,,-2.4093080970591267,-2.8844946580579727,1.3905249485900442,-0.02542492491994919,
1992-02-10,-1.8549038104286333,0.46145921157925235,-0.6276443492575922,0.2331664069627234,,-2.0278526100718897,-1.0282648578950568,1.5391531219067036,0.7874790193917941,-0.5332642633175102
1992-02-11,-2.1388439665835666,1.6044218424787409,-0.5073845714293195,0.5869536894841705,,-0.7247674508641628,-0.0989439914787006,0.9969805041987078,0.805655417238604,-1.0848490505882684
1992-02-12,-2.0533448994558587,2.1238096415530197,0.8114633622790404,0.8450586532429375,,0.04745629800505388,-0.4101447616851431,2.4249991625315106,3.129031085685826,-1.0477248103475545
1992-02-13,-1.36522560260265,1.0808613562251161,0.5019634522573063,-0.87310096751313,,-0.9455592883416232,-1.3158704998581974,1.1810210552106277,1.2873145268361892,-2.3959584321395595
1992-02-14,0.8468753197305666,1.1149370060116703,-1.2217617281077817,-1.7370215811698,,-0.9612052238106062,-1.2253215339120793,0.49351136405635093,1.4175536709467662,-2.225460137628704
1992-02-18,0.06986410375147302,0.5777906678035984,-2.1991930584402355,-3.8361936200019553,,-1.2308223963593192,-2.0508547661486487,0.07523384361552521,1.3968321073361436,-3.8541719350042385
1992-02-19,-0.5429177989127635,1.352101149901294,-3.470399107267148,-2.5776343689221024,,-2.057282959916285,-1.7890926498456226,-0.24801061094967658,1.7082927952858404,-2.2369309000270166
1992-02-20,-0.9679692985598682,2.407077168654848,-0.8972623887419223,-0.5275637451382105,,-0.4380876296811674,-1.8703522854395536,0.8123849208306726,3.422403078075814,-1.2195529509920338
1992-02-21,0.35793638496003827,0.8457466401992211,-0.6739024804493287,-1.1041689558783132,,-2.379717264121501,-2.9332695740300783,-0.004858402984374687,1.8031778753754015,-1.3103261170700424
1992-02-24,0.5008232503333628,0.6849521607343345,-0.7732209139079123,-0.7453270738759766,,-2.4690752263804736,-1.1290102102247748,-1.4385481252882426,1.5919187204280245,-1.7098151150548098
1992-02-25,0.598654740420161,-0.3625951875464556,-1.8133264703848333,-0.6081801967731822,-0.31449880527382246,-1.131099445533228,-1.3208678736517725,-2.4565402988961917,0.725512745600926,-1.7091576585563577
1992-02-26,1.482998723196677,-0.5363907183973752,-1.2037022185488337,0.6892342548945546,1.1586352016936843,-0.01333488458680623,-0.30498743641928394,-1.4973770994574296,1.245510204845587,0.459471815560745
1992-02-27,1.932779031726144,0.1513165169819975,0.18863287420418726,-0.021303683217817705,0.493029585171389,-0.020951558993982575,-0.5259615406787527,-1.3822642360920205,0.6217707264057488,0.21279137347988697
